text,label,app,app_name,rating
<salutation> force restart and stop responding,1,com.bbm,BBM,3
adobe has created yet another mediocre app for the world to sigh at.,0,com.adobe.reader,Adobe Acrobat Reader,1
can it see raw files as it does on pc?,2,com.adobe.lrmobile,Adobe Lightroom,4
close but no cigar,1,cc.forestapp,Forest,3
white list change itself every time! cant access even translator while working without my tree dying,0,cc.forestapp,Forest,1
"love all the customization features and options, and the picture that the character appears in as well. but the rest of the app is very boring me. <number> / <number> stars for this app.",2,com.bitstrips.imoji,Bitmoji,4
need strawberry blond and longer faces,1,com.bitstrips.imoji,Bitmoji,3
please remove hamburger menu,0,com.Slack,Slack,2
would be five stars w/more detail!,1,com.bitstrips.imoji,Bitmoji,3
mobile push notifications not working,0,com.Slack,Slack,2
last update ruined it,0,com.aws.android,AccuWeather,1
very easy and user friendly!!,2,com.booking,Booking.com,4
very nice app for everything download,1,com.UCMobile.intl,UC Browser,3
"the latest <number> . <number> . <number> . <number> version still have ""bbm has stopped"" issue.",2,com.bbm,BBM,4
hate <url> slow and not responding,0,com.bbm,BBM,1
"battery usage has gotten under control. but temperature info is bogus. highs and lows are from days old forecast, and often miss the mark entirely from current temp. data source needs to be compared with local temps forecast and logic programmed in to prevent the strange results that i am seeing.",1,com.aws.android,AccuWeather,3
"complex app that covers all sorts of things related to travelling, maybe too many",2,com.booking,Booking.com,4
two easy improvments: let us sort the forest by day/week/year/lifetime to see our progress and achievements in more powerful ways and let us move the trees around to create personalized landscapes of our forests.,2,cc.forestapp,Forest,4
easy to install and use it,2,com.UCMobile.intl,UC Browser,4
erased the sponsored content in timeline,1,com.bbm,BBM,3
"best radar, but still glitchy",1,com.aws.android,AccuWeather,3
great app with <url>,2,com.adobe.lrmobile,Adobe Lightroom,4
the ads are really annoying.,1,com.bbm,BBM,3
like the noaa. app better,1,com.aws.android,AccuWeather,3
where are the local adjustments?,2,com.adobe.lrmobile,Adobe Lightroom,4
good app for fixing jpg photos. if i want to edit raw i have to reboot the device everytime before the software recognises them. the pro camera would be nice except it crashes every single time i push the shutter button.,1,com.adobe.lrmobile,Adobe Lightroom,3
it is crashing again and again and when i open it showing this version is not compatible with <url> u provide any previous version of this,0,com.UCMobile.intl,UC Browser,1
able to put in sd card.,1,com.adobe.reader,Adobe Acrobat Reader,3
great visual concept for the pormodoro,2,cc.forestapp,Forest,4
blurry display profile picture,1,com.bbm,BBM,3
"it is very good in downloading but when we pause any downloading its not reconnecting, waste app",0,com.UCMobile.intl,UC Browser,1
what happened to my little shortcut!? or used to stay open in all my messaging <url> now it's gone!!,0,com.bitstrips.imoji,Bitmoji,1
weather animation has stopped and will not start. has been off nearly <number> weeks.,0,com.aws.android,AccuWeather,1
no option to search again after moving map,1,com.booking,Booking.com,3
still too too many ads. it's annoying. i may have to delete it.,0,com.bbm,BBM,1
nice idea. make a weekly forest please. i hate starting allover every day.,2,cc.forestapp,Forest,4
worst version of uc browser,0,com.UCMobile.intl,UC Browser,1
it doesn't remember last readed page. absolutly unusable with <number> page book.,0,com.adobe.reader,Adobe Acrobat Reader,1
app design is not great,1,com.adobe.lrmobile,Adobe Lightroom,3
great app. and loads pdf docs faster than many other apps,2,com.adobe.reader,Adobe Acrobat Reader,4
perfect for distributed team work,2,com.Slack,Slack,4
"<url> telling me,its <url>",0,com.bbm,BBM,1
i like this app,2,com.UCMobile.intl,UC Browser,4
"love using this app for editing raw photos taken on my phone, but it wont see the nikon nef raw images transferred from my d <number> when out and about. photoshop mobile and even the in-built photo gallery app both view and edit nef images no problem.",1,com.adobe.lrmobile,Adobe Lightroom,3
this app is one way to express myself and to show what i look like and to dress up,2,com.bitstrips.imoji,Bitmoji,4
how to save with higher quality picture?,1,com.adobe.lrmobile,Adobe Lightroom,3
this apps is very <url>,0,com.UCMobile.intl,UC Browser,1
"down today feb <number> rd, cannot access",0,com.bbm,BBM,1
would give <number> stars if you blocked the facebook messenger bubble as well,2,cc.forestapp,Forest,4
very goof tool to market,2,com.Slack,Slack,4
only available in usa,0,com.adobe.lrmobile,Adobe Lightroom,1
"i've been using the free version ever since it came out and i love it. however, i just got the update and it deleted all my previouly collected/bought trees. if i buy the real version, will this still happen? #mycattreeisgone",2,cc.forestapp,Forest,4
overall a nice app. user friendly & easy to use. still there is a scope to improve.,2,com.booking,Booking.com,4
"slack is great, but this app is lacking features.",1,com.Slack,Slack,3
good if it doesn't has annoying news banners,2,com.UCMobile.intl,UC Browser,4
shuts phone down when i try to use app,0,com.aws.android,AccuWeather,1
is an interesting app to use.,2,com.bbm,BBM,4
it's ads all the way,0,com.bbm,BBM,1
editing of dis is quite <url>,1,com.adobe.lrmobile,Adobe Lightroom,3
so far it works up to my expectations.,2,com.adobe.reader,Adobe Acrobat Reader,4
great app but lacking <number> thing,2,com.Slack,Slack,4
could be animated but still funny,1,com.bitstrips.imoji,Bitmoji,3
wont open some larger <url> boo hiss!,0,com.adobe.reader,Adobe Acrobat Reader,1
too many update it's annoying,1,com.bbm,BBM,3
when i got update of the app all my unlocked plants were locked gain automatically and cost of new plants was same increased one.,0,cc.forestapp,Forest,1
great improvement! surely getting better.,2,com.bbm,BBM,4
too many ads and when you uninstall bbm you can't get back chats,1,com.bbm,BBM,3
failed to issue severe weather alerts - inexcusable!,0,com.aws.android,AccuWeather,1
the radar has stopped working and its soooo annoying. i'm uninstalling unless it gets fixed.,0,com.aws.android,AccuWeather,1
ac is the worst part in this stupid hotel,0,com.booking,Booking.com,1
excellent pdf viewer rendered unusable by the inability to jump to a page and by the fact that it doesn't remember where you were or bookmarks.,0,com.adobe.reader,Adobe Acrobat Reader,1
how do i get face off my other app screens. already unchecked in settings,1,com.bitstrips.imoji,Bitmoji,3
very useful to communicate with your team on finger tips,1,com.Slack,Slack,3
takes too long for settling <url> just hate it,0,com.bbm,BBM,1
"pros: fastest browser hands down, the ui looks simple and efficient plus its highly customizable. cons: too many useless and distracting articles on homepage. change the icon, its ancient.",1,com.UCMobile.intl,UC Browser,3
effective but there are problems,2,cc.forestapp,Forest,4
can't restore group,1,com.bbm,BBM,3
it's ok about like any other weather app,1,com.aws.android,AccuWeather,3
"amazing app, needs to be more responsive",2,com.adobe.lrmobile,Adobe Lightroom,4
i enjoy using it on snapchat whatsapp and messenger app,1,com.bitstrips.imoji,Bitmoji,3
"app works fine, but it is very disappointing that there is no possibility to just use the map to find available accommodation. you always have to fill a place to search, but mostly i just want to browse and see what's available, regardless of the location.",1,com.booking,Booking.com,3
"fun app, but won't work",0,com.bitstrips.imoji,Bitmoji,1
<salutation> please give setting to turn it off,0,com.bbm,BBM,1
"app works but has zero options for notification sounds, profile picture editing, options on web can't be set from the app.",0,com.Slack,Slack,1
"fix zoom in attached images! it doesn't work first <number> seconds the image open, and for gif it doesn't work at all. and is that tat hard to add rotation you've ""planned to add"" a year ago? where's a font size setting or guesture scale sor chat?",1,com.Slack,Slack,3
"tree withers and dies anytime i receive a phone call, which blows. there's also no reason the tree should wither if i switch to a whitelisted app via the system ui. aaargh. there are too many times my tree will wither for reasons outside of my control.",1,cc.forestapp,Forest,3
