text,label,app,app_name,rating
it's good app but need more apps related chat process,2,com.UCMobile.intl,UC Browser,4
"works well! but, i have issues with the weather/temperature updating some times",2,com.aws.android,AccuWeather,4
i am have to say one thing for this app which i dont like that is whenever i download any bigger of <number> mb or higher and some time i pause it so that i can download it another day but when i click on download it start again from starting and internet and both my time wasted due to this app,0,com.UCMobile.intl,UC Browser,1
most serious problem is security issue. this app send our personal information to our developer.,0,com.UCMobile.intl,UC Browser,1
"i can still using my phone with other apps, duh. its not working",0,cc.forestapp,Forest,1
it's better than the other photo editors,1,com.adobe.lrmobile,Adobe Lightroom,3
good browser and fast,2,com.UCMobile.intl,UC Browser,4
i will use the app but only in the <url> let's <url> hope this helps,1,com.booking,Booking.com,3
when it works it is <url> for the past <number> weeks it keeps saying current location is oregon(currently in florida) <url> no other aps think im there.,1,com.aws.android,AccuWeather,3
nice app. it realy helps a lot with my docs,2,com.adobe.reader,Adobe Acrobat Reader,4
when i push play on the map it doesnt move so i cant see which way the rain or weather is moving. please fix. i really like weather bug.,0,com.aws.android,AccuWeather,1
storm warnings are behind. weather warnings just seams to be behind,1,com.aws.android,AccuWeather,3
why do i need to sign up to use this app?,0,com.adobe.lrmobile,Adobe Lightroom,1
it is easy to find your distination but there is always a less price,1,com.booking,Booking.com,3
i like it most using adobe products since <number>,1,com.adobe.lrmobile,Adobe Lightroom,3
bbm works for me.,2,com.bbm,BBM,4
needs move to sd card,1,com.adobe.reader,Adobe Acrobat Reader,3
very useful to book hotels,2,com.booking,Booking.com,4
i think tim needs to get an ipad if he's complaining about a doc with <number> 's of pages on his phone? clean the cobwebs out of your wallet!,1,com.adobe.reader,Adobe Acrobat Reader,3
i personally love slack .. web and android too one kind request it would awesome if slack provides users with big open source communities slack link .. so we can learn and share more !,2,com.Slack,Slack,4
cool idea pain da butt to use then at times wont work <url>,0,com.bitstrips.imoji,Bitmoji,1
i can't get it to load for tablet,0,com.bitstrips.imoji,Bitmoji,1
lightroom camera is good. but ui is very very poor and app animations are also very lagging.,0,com.adobe.lrmobile,Adobe Lightroom,1
still on the app orientation,1,com.booking,Booking.com,3
good apps for photo editing,2,com.adobe.lrmobile,Adobe Lightroom,4
"touristic suggestions based on proximity to your hotel, very convenient",2,com.booking,Booking.com,4
trial version. shouldnt be in free section.,0,com.adobe.lrmobile,Adobe Lightroom,1
"it would be cooler if you could mix and match the pants, shoes, shirts, jackets, etc. instead of having to choose from predetermined outfits. i want to make my own outfit!",2,com.bitstrips.imoji,Bitmoji,4
kills the tree even though i'm only in the app.,0,cc.forestapp,Forest,1
it's really good i like it but i can't choose freely from my gallery the photo i want to fix,2,com.adobe.lrmobile,Adobe Lightroom,4
why is the iphone app so much better!,0,com.adobe.lrmobile,Adobe Lightroom,1
very very very bad!!!!!!!!!! they lie about there prices never use it in less you want a big fat lie !!!!!!!,0,com.booking,Booking.com,1
considering this is an adobe app shame it doesn't support advanced pdfs such as a portfolio would be good to see this work,1,com.adobe.reader,Adobe Acrobat Reader,3
it is a good social way of communication i like it,1,com.bbm,BBM,3
my company forces me to use this app.,1,com.Slack,Slack,3
can't install to sd on evo. this sucks.,0,com.adobe.reader,Adobe Acrobat Reader,1
"the emojis you can make out of it are great! however, it would be nice to implement the character doing different kinds of sports. also the app didn't have my face shape, hairstyle, and the mouth was too big for me. basically i had to go with what i could find that looked the most like me, and a bunch of people still thought that the bitmoji looked nothing like me. something else i'd like to add is that maybe for the female character, put some outfits that are t-shirts and moderate shorts, not just short shorts. i couldn't find my usual attire because of that. overall, my bitmoji only looks a bit like me so if you guys can change the face, costumes, and facial features to let more people have an accurate character, it'd be great. <signature>",2,com.bitstrips.imoji,Bitmoji,4
guys you just wrote the resume downloading feature but it doesn't does it even once for me and the downloading starts very lately not only that it retries most of the times in downloading box which makes me frustrated i really hate it plzz fix it asap or else i m gonna uninstall it soon really i m tired of seeing it again and again,1,com.UCMobile.intl,UC Browser,3
more bitmojis and offline access! extremely hard to log back in upon new install. if i log out i can log back in but when i open for the first time. it's a register screen and nothing else.,1,com.bitstrips.imoji,Bitmoji,3
needs graduated filter/local adjustment asap!,1,com.adobe.lrmobile,Adobe Lightroom,3
still one of the <signature>,2,com.bbm,BBM,4
they tried to rob me,0,com.Slack,Slack,1
okay but still a lot chat pending,1,com.bbm,BBM,3
will rate higher when theres a way to delete the files u download on htc incredible,1,com.adobe.reader,Adobe Acrobat Reader,3
"there is no way to search or jump to the pages i want. so, in a <number> page document, i have to page down until i get to where i want. very poor!",1,com.adobe.reader,Adobe Acrobat Reader,3
it doesn't keep me from using my phone,0,cc.forestapp,Forest,1
"help, it's acting up",0,com.bbm,BBM,1
nice. update it to be more digital. very clear,2,com.adobe.lrmobile,Adobe Lightroom,4
please explain the new permissions.,1,com.adobe.reader,Adobe Acrobat Reader,3
every update always crash,0,com.bbm,BBM,1
